The preprocessed data already exists, skip the preprocess stage!
  Test | Time 38 | precision:0.3982 | recall: 0.7928 | f1: 0.5301
  Test | Time 39 | precision:0.3939 | recall: 0.6420 | f1: 0.4883
  Test | Time 40 | precision:0.5534 | recall: 0.5089 | f1: 0.5302
  Test | Time 41 | precision:0.4361 | recall: 0.5000 | f1: 0.4659
  Test | Time 42 | precision:0.7451 | recall: 0.6360 | f1: 0.6862
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0333 | recall: 0.0833 | f1: 0.0476
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0476 | recall: 0.5000 | f1: 0.0870
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:1.0000 | recall: 0.0556 | f1: 0.1053
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 27 | class 1 | precision:0.4114 | recall: 0.5000 | f1: 0.4514
Train Epoch 28 | class 1 | precision:0.8365 | recall: 0.8353 | f1: 0.8359
Eval Epoch 28 | class 1 | precision:0.6395 | recall: 0.7877 | f1: 0.7059
###################Epoch 28 Test###################
  Test | Time 37 | precision:0.5405 | recall: 0.5000 | f1: 0.5195
  Test | Time 38 | precision:0.4855 | recall: 0.6036 | f1: 0.5382
  Test | Time 39 | precision:0.4930 | recall: 0.4321 | f1: 0.4605
  Test | Time 40 | precision:0.7200 | recall: 0.3214 | f1: 0.4444
  Test | Time 41 | precision:0.7273 | recall: 0.4138 | f1: 0.5275
  Test | Time 42 | precision:0.8939 | recall: 0.4937 | f1: 0.6361
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:1.0000 | recall: 0.0278 | f1: 0.0541
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 28 | class 1 | precision:0.5920 | recall: 0.3744 | f1: 0.4587
Train Epoch 29 | class 1 | precision:0.8232 | recall: 0.8337 | f1: 0.8284
Eval Epoch 29 | class 1 | precision:0.5605 | recall: 0.8039 | f1: 0.6605
Train Epoch 30 | class 1 | precision:0.8247 | recall: 0.8427 | f1: 0.8336
Eval Epoch 30 | class 1 | precision:0.6443 | recall: 0.8104 | f1: 0.7179
###################Epoch 30 Test###################
  Test | Time 37 | precision:0.5714 | recall: 0.5000 | f1: 0.5333
  Test | Time 38 | precision:0.5347 | recall: 0.6937 | f1: 0.6039
  Test | Time 39 | precision:0.5316 | recall: 0.5185 | f1: 0.5250
  Test | Time 40 | precision:0.7407 | recall: 0.3571 | f1: 0.4819
  Test | Time 41 | precision:0.8387 | recall: 0.4483 | f1: 0.5843
  Test | Time 42 | precision:0.9435 | recall: 0.4895 | f1: 0.6446
  Test | Time 43 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 44 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 45 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 46 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 47 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 48 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Time 49 | precision:0.0000 | recall: 0.0000 | f1: 0.0000
  Test | Epoch 30 | class 1 | precision:0.6654 | recall: 0.4009 | f1: 0.5004
Train Epoch 31 | class 1 | precision:0.8259 | recall: 0.8434 | f1: 0.8346
Eval Epoch 31 | class 1 | precision:0.6469 | recall: 0.7423 | f1: 0.6913
Train Epoch 32 | class 1 | precision:0.8108 | recall: 0.8192 | f1: 0.8150
Eval Epoch 32 | class 1 | precision:0.5785 | recall: 0.8120 | f1: 0.6757
Train Epoch 33 | class 1 | precision:0.8352 | recall: 0.8448 | f1: 0.8400
Eval Epoch 33 | class 1 | precision:0.5777 | recall: 0.8314 | f1: 0.6817
Train Epoch 34 | class 1 | precision:0.7972 | recall: 0.8535 | f1: 0.8244
Eval Epoch 34 | class 1 | precision:0.5990 | recall: 0.7601 | f1: 0.6700
Train Epoch 35 | class 1 | precision:0.8372 | recall: 0.7829 | f1: 0.8092
Eval Epoch 35 | class 1 | precision:0.6364 | recall: 0.6921 | f1: 0.6630
Train Epoch 36 | class 1 | precision:0.8183 | recall: 0.8293 | f1: 0.8238
Eval Epoch 36 | class 1 | precision:0.5918 | recall: 0.7990 | f1: 0.6800
